cdm_semantic_meaning,description,extends_trait,parameters,dbt_labels
means.reference.regarding,,means.reference,,category:reference|subcategory:regarding|role:dimension
means.reference.URL,,means.reference,,category:reference|subcategory:URL|role:dimension
means.reference.URL.image,,means.reference.URL,,category:reference|subcategory:URL|type:image|role:dimension
means.reference.language,,means.reference,,category:reference|subcategory:language|role:dimension
means.reference.language.tag,,means.reference.language,,category:reference|subcategory:language|type:tag|role:dimension
means.location.address.street.line1,,means.location.address.street,,category:location|subcategory:address|type:street|role:dimension
means.location.address.street.line2,,means.location.address.street,,category:location|subcategory:address|type:street|role:dimension
means.location.address.street.line3,,means.location.address.street,,category:location|subcategory:address|type:street|role:dimension
means.measurement.distance.inches,,means.measurement.distance,,category:measurement|subcategory:distance|type:inches|role:measure|default_aggregation:sum
means.measurement.distance.cm,,means.measurement.distance,,category:measurement|subcategory:distance|type:cm|role:measure|default_aggregation:sum
means.identity.company.name,,means.identity.name,,category:identity|subcategory:company|type:name|role:dimension
means.userId,contains a userId,,,category:userId|role:dimension
means.idea.accountLeads,,means.idea,,category:idea|subcategory:accountLeads|role:dimension
means.idea.activityParty,,means.idea,,category:idea|subcategory:activityParty|role:dimension
means.idea.activityPointer,,means.idea,,category:idea|subcategory:activityPointer|role:dimension
means.idea.annotation,,means.idea,,category:idea|subcategory:annotation|role:dimension
means.idea.appointment,,means.idea,,category:idea|subcategory:appointment|role:dimension
means.idea.brand,,means.idea,,category:idea|subcategory:brand|role:dimension
means.idea.businessUnit,,means.idea,,category:idea|subcategory:businessUnit|role:dimension
means.idea.campaign,,means.idea,,category:idea|subcategory:campaign|role:dimension
means.idea.campaignActivity,,means.idea,,category:idea|subcategory:campaignActivity|role:dimension
means.idea.campaignItem,,means.idea,,category:idea|subcategory:campaignItem|role:dimension
means.idea.campaignResponse,,means.idea,,category:idea|subcategory:campaignResponse|role:dimension
means.idea.characteristic,,means.idea,,category:idea|subcategory:characteristic|role:dimension
means.idea.competitor,,means.idea,,category:idea|subcategory:competitor|role:dimension
means.idea.competitorAddress,,means.idea,,category:idea|subcategory:competitorAddress|role:dimension
means.idea.competitorProduct,,means.idea,,category:idea|subcategory:competitorProduct|role:dimension
means.idea.connection,,means.idea,,category:idea|subcategory:connection|role:dimension
means.idea.connectionRole,,means.idea,,category:idea|subcategory:connectionRole|role:dimension
means.idea.contract,,means.idea,,category:idea|subcategory:contract|role:dimension
means.idea.contractDetail,,means.idea,,category:idea|subcategory:contractDetail|role:dimension
means.idea.customerAddress,,means.idea,,category:idea|subcategory:customerAddress|role:dimension
means.idea.customerRelationship,,means.idea,,category:idea|subcategory:customerRelationship|role:dimension
