cdm_manifest_name,cdm_manifest_path,cdm_version,dbt_schema_name
MasterPlanning,local:/core/operationsCommon/Entities/SupplyChain/MasterPlanning/MasterPlanning.1.2.manifest.cdm.json,1.2,master_planning
ProcurementAndSourcing,local:/core/operationsCommon/Entities/SupplyChain/ProcurementAndSourcing/ProcurementAndSourcing.1.2.manifest.cdm.json,1.2,procurement_and_sourcing
ProductInformationManagement,local:/core/operationsCommon/Entities/SupplyChain/ProductInformationManagement/ProductInformationManagement.1.2.manifest.cdm.json,1.2,product_information_management
ProductionControl,local:/core/operationsCommon/Entities/SupplyChain/ProductionControl/ProductionControl.1.2.manifest.cdm.json,1.2,production_control
SalesAndMarketing,local:/core/operationsCommon/Entities/SupplyChain/SalesAndMarketing/SalesAndMarketing.1.2.manifest.cdm.json,1.2,sales_and_marketing
ServiceManagement,local:/core/operationsCommon/Entities/SupplyChain/ServiceManagement/ServiceManagement.1.2.manifest.cdm.json,1.2,service_management
Transportation,local:/core/operationsCommon/Entities/SupplyChain/Transportation/Transportation.1.2.manifest.cdm.json,1.2,transportation
Vendor,local:/core/operationsCommon/Entities/SupplyChain/Vendor/Vendor.1.2.manifest.cdm.json,1.2,vendor
WMS,local:/core/operationsCommon/Entities/SupplyChain/WMS/WMS.1.2.manifest.cdm.json,1.2,wms
System,local:/core/operationsCommon/Entities/System/System.1.0.3.manifest.cdm.json,1.0.3,system
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,1.2,organization_administration
SystemAdministration,local:/core/operationsCommon/Entities/System/SystemAdministration/SystemAdministration.1.2.manifest.cdm.json,1.2,system_administration
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,1.2,workflow
Tables,local:/core/operationsCommon/Tables/Tables.1.1.2.manifest.cdm.json,1.1.2,tables
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,1.2,group
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,1.2,main
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,1.2,miscellaneous
Parameter,local:/core/operationsCommon/Tables/Common/Customer/Parameter/Parameter.1.2.manifest.cdm.json,1.2,parameter
Transaction,local:/core/operationsCommon/Tables/Common/GAB/Transaction/Transaction.1.2.manifest.cdm.json,1.2,transaction
TransactionHeader,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionHeader/TransactionHeader.1.2.manifest.cdm.json,1.2,transaction_header
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,1.2,transaction_line
WorksheetHeader,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/WorksheetHeader/WorksheetHeader.1.2.manifest.cdm.json,1.2,worksheet_header
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,1.2,worksheet_line
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,1.2,reference
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,1.2,staging
Intrastat,local:/core/operationsCommon/Tables/Common/Intrastat/Intrastat.1.0.3.manifest.cdm.json,1.0.3,intrastat
AccountingFoundation,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/AccountingFoundation.1.0.3.manifest.cdm.json,1.0.3,accounting_foundation
